,0,1,2,3
0,0.0,0.0,1.0,2.0
1,3.0,0.0,1.0,2.0
2,5.0,0.0,1.0,2.0
3,7.0,0.0,1.0,2.0
4,8.0,-0.0,1.0,2.0
5,9.0,-0.0,1.0,2.0
6,5.0,0.0,1.0,3.0
7,4.0,0.0,1.0,2.0
8,6.0,0.0,1.0,2.0
9,7.0,0.0,1.0,3.0
10,1.0,0.0,1.0,2.0
11,9.0,-0.0,1.0,3.0
12,5.0,0.0,1.0,4.0
13,0.0,50.0,2.0,2.0
14,2.0,0.0,1.0,2.0
15,0.0,0.0,2.0,3.0
16,3.0,60.0,2.0,2.0
17,0.0,50.0,3.0,3.0
18,7.0,0.0,1.0,4.0
19,7.0,0.0,1.0,5.0
20,3.0,0.0,2.0,3.0
21,2.0,0.0,1.0,3.0
22,6.0,0.0,1.0,3.0
23,1.0,100.0,2.0,2.0
24,4.0,0.0,1.0,3.0
25,8.0,-0.0,1.0,3.0
26,1.0,0.0,2.0,3.0
27,1.0,0.0,2.0,4.0
28,8.0,-0.0,1.0,4.0
29,0.0,0.0,3.0,4.0
30,0.0,50.0,4.0,4.0
31,8.0,-0.0,1.0,5.0
32,3.0,0.0,2.0,4.0
33,6.0,0.0,1.0,4.0
34,1.0,100.0,3.0,4.0
35,2.0,0.0,1.0,4.0
36,1.0,0.0,3.0,5.0
37,0.0,0.0,4.0,5.0
38,0.0,0.0,4.0,6.0
39,2.0,0.0,1.0,5.0
40,1.0,100.0,4.0,5.0
41,0.0,50.0,5.0,6.0
42,0.0,0.0,5.0,7.0
43,5.0,0.0,1.0,5.0
44,1.0,0.0,4.0,6.0
45,0.0,0.0,5.0,8.0
46,1.0,0.0,4.0,7.0
47,9.0,-0.0,1.0,4.0
48,7.0,0.0,1.0,6.0
49,7.0,0.0,1.0,7.0
50,0.0,0.0,5.0,9.0
51,0.0,0.0,5.0,10.0
52,4.0,0.0,1.0,4.0
53,8.0,-0.0,1.0,6.0
54,9.0,-0.0,1.0,5.0
55,6.0,0.0,1.0,5.0
56,3.0,60.0,3.0,4.0
57,1.0,100.0,5.0,7.0
58,1.0,0.0,5.0,8.0
59,4.0,0.0,1.0,5.0
60,2.0,0.0,1.0,6.0
61,3.0,0.0,3.0,5.0
62,0.0,50.0,6.0,10.0
63,3.0,0.0,3.0,6.0
64,0.0,0.0,6.0,11.0
65,2.0,0.0,1.0,7.0
66,1.0,0.0,5.0,9.0
67,1.0,0.0,5.0,10.0
68,3.0,60.0,4.0,6.0
69,3.0,0.0,4.0,7.0
70,1.0,0.0,5.0,11.0
71,6.0,0.0,1.0,6.0
72,0.0,50.0,7.0,11.0
73,0.0,0.0,7.0,12.0
74,3.0,0.0,4.0,8.0
75,0.0,0.0,7.0,13.0
76,1.0,100.0,6.0,11.0
77,1.0,0.0,6.0,12.0
78,4.0,0.0,1.0,6.0
79,3.0,0.0,4.0,9.0
80,3.0,0.0,4.0,10.0
81,0.0,0.0,7.0,14.0
82,0.0,0.0,7.0,15.0
83,1.0,0.0,6.0,13.0
84,3.0,0.0,4.0,11.0
85,0.0,0.0,7.0,16.0
86,3.0,0.0,4.0,12.0
87,4.0,0.0,1.0,7.0
88,1.0,0.0,6.0,14.0
89,8.0,-0.0,1.0,7.0
90,3.0,0.0,4.0,13.0
91,0.0,0.0,7.0,17.0
92,0.0,0.0,7.0,18.0
93,3.0,0.0,4.0,14.0
94,0.0,0.0,7.0,19.0
95,0.0,0.0,7.0,20.0
96,3.0,0.0,4.0,15.0
97,9.0,-0.0,1.0,6.0
98,3.0,0.0,4.0,16.0
99,1.0,0.0,6.0,15.0
100,6.0,0.0,1.0,7.0
101,1.0,100.0,7.0,15.0
102,6.0,0.0,1.0,8.0
103,5.0,0.0,1.0,6.0
104,0.0,0.0,7.0,21.0
105,1.0,0.0,7.0,16.0
106,3.0,0.0,4.0,17.0
107,1.0,0.0,7.0,17.0
108,0.0,0.0,7.0,22.0
109,3.0,0.0,4.0,18.0
110,7.0,0.0,1.0,8.0
111,1.0,100.0,8.0,17.0
112,1.0,0.0,8.0,18.0
113,4.0,0.0,1.0,8.0
114,1.0,0.0,8.0,19.0
115,1.0,0.0,8.0,20.0
116,1.0,0.0,8.0,21.0
117,9.0,-0.0,1.0,7.0
118,4.0,50.0,2.0,8.0
119,1.0,0.0,8.0,22.0
120,0.0,0.0,7.0,23.0
121,1.0,0.0,8.0,23.0
122,9.0,-0.0,1.0,8.0
123,0.0,0.0,7.0,24.0
124,3.0,0.0,4.0,19.0
125,1.0,0.0,8.0,24.0
126,4.0,50.0,3.0,8.0
127,1.0,0.0,8.0,25.0
128,1.0,100.0,9.0,25.0
129,5.0,0.0,1.0,7.0
130,5.0,0.0,1.0,8.0
131,4.0,0.0,3.0,9.0
132,1.0,0.0,9.0,26.0
133,2.0,50.0,2.0,7.0
134,4.0,0.0,3.0,10.0
135,1.0,0.0,9.0,27.0
136,3.0,0.0,4.0,20.0
137,8.0,-0.0,1.0,8.0
138,4.0,0.0,3.0,11.0
139,2.0,0.0,2.0,8.0
140,2.0,0.0,2.0,9.0
141,0.0,0.0,7.0,25.0
142,1.0,0.0,9.0,28.0
143,1.0,0.0,9.0,29.0
144,6.0,0.0,1.0,9.0
145,7.0,0.0,1.0,9.0
146,0.0,0.0,7.0,26.0
147,1.0,0.0,9.0,30.0
148,3.0,0.0,4.0,21.0
149,4.0,0.0,3.0,12.0
150,0.0,0.0,7.0,27.0
151,3.0,0.0,4.0,22.0
152,5.0,0.0,1.0,9.0
153,3.0,0.0,4.0,23.0
154,4.0,0.0,3.0,13.0
155,0.0,0.0,7.0,28.0
156,9.0,-0.0,1.0,9.0
157,7.0,0.0,1.0,10.0
158,7.0,0.0,1.0,11.0
159,0.0,0.0,7.0,29.0
160,0.0,0.0,7.0,30.0
161,3.0,0.0,4.0,24.0
162,3.0,0.0,4.0,25.0
163,5.0,0.0,1.0,10.0
164,6.0,0.0,1.0,10.0
165,2.0,50.0,3.0,9.0
166,4.0,0.0,3.0,14.0
167,8.0,-0.0,1.0,9.0
168,2.0,0.0,3.0,10.0
169,2.0,0.0,3.0,11.0
170,2.0,50.0,4.0,11.0
171,2.0,0.0,4.0,12.0
172,3.0,0.0,4.0,26.0
173,1.0,0.0,9.0,31.0
174,2.0,50.0,5.0,12.0
175,2.0,0.0,5.0,13.0
176,2.0,0.0,5.0,14.0
177,4.0,0.0,3.0,15.0
178,1.0,0.0,9.0,32.0
179,2.0,0.0,5.0,15.0
180,2.0,0.0,5.0,16.0
181,0.0,0.0,7.0,31.0
182,1.0,0.0,9.0,33.0
183,1.0,0.0,9.0,34.0
184,0.0,0.0,7.0,32.0
185,8.0,-0.0,1.0,10.0
186,6.0,26.0,2.0,10.0
187,0.0,0.0,7.0,33.0
188,1.0,0.0,9.0,35.0
189,2.0,0.0,5.0,17.0
190,6.0,0.0,2.0,11.0
191,4.0,0.0,3.0,16.0
192,6.0,0.0,2.0,12.0
193,9.0,-0.0,1.0,10.0
194,2.0,0.0,5.0,18.0
195,9.0,-0.0,1.0,11.0
196,1.0,0.0,9.0,36.0
197,4.0,0.0,3.0,17.0
198,2.0,0.0,5.0,19.0
199,2.0,0.0,5.0,20.0
200,1.0,0.0,9.0,37.0
201,7.0,0.0,1.0,12.0
202,4.0,0.0,3.0,18.0
203,2.0,0.0,5.0,21.0
204,2.0,0.0,5.0,22.0
205,4.0,0.0,3.0,19.0
206,0.0,0.0,7.0,34.0
207,8.0,-0.0,1.0,11.0
208,0.0,0.0,7.0,35.0
209,5.0,0.0,1.0,11.0
210,9.0,-0.0,1.0,12.0
211,3.0,0.0,4.0,27.0
212,4.0,50.0,4.0,19.0
213,3.0,0.0,4.0,28.0
214,1.0,0.0,9.0,38.0
215,2.0,50.0,6.0,22.0
216,0.0,0.0,7.0,36.0
217,0.0,0.0,7.0,37.0
218,0.0,0.0,7.0,38.0
219,2.0,0.0,6.0,23.0
220,2.0,0.0,6.0,24.0
221,1.0,0.0,9.0,39.0
222,3.0,0.0,4.0,29.0
223,1.0,0.0,9.0,40.0
224,7.0,0.0,1.0,13.0
225,0.0,0.0,7.0,39.0
226,1.0,0.0,9.0,41.0
227,2.0,50.0,7.0,24.0
228,3.0,0.0,4.0,30.0
229,1.0,0.0,9.0,42.0
230,6.0,0.0,2.0,13.0
231,2.0,0.0,7.0,25.0
232,2.0,0.0,7.0,26.0
233,4.0,0.0,4.0,20.0
234,1.0,0.0,9.0,43.0
235,1.0,0.0,9.0,44.0
236,2.0,0.0,7.0,27.0
237,1.0,0.0,9.0,45.0
238,5.0,0.0,1.0,12.0
239,2.0,0.0,7.0,28.0
240,9.0,-0.0,1.0,13.0
241,1.0,0.0,9.0,46.0
242,2.0,0.0,7.0,29.0
243,1.0,0.0,9.0,47.0
244,4.0,0.0,4.0,21.0
245,9.0,-0.0,1.0,14.0
246,4.0,0.0,4.0,22.0
247,2.0,0.0,7.0,30.0
248,1.0,0.0,9.0,48.0
249,1.0,0.0,9.0,49.0
250,8.0,-0.0,1.0,12.0
251,0.0,0.0,7.0,40.0
252,4.0,0.0,4.0,23.0
253,3.0,0.0,4.0,31.0
254,2.0,0.0,7.0,31.0
255,3.0,60.0,5.0,31.0
256,2.0,0.0,7.0,32.0
257,4.0,0.0,4.0,24.0
258,1.0,0.0,9.0,50.0
259,2.0,0.0,7.0,33.0
260,2.0,50.0,8.0,33.0
261,5.0,0.0,1.0,13.0
262,0.0,0.0,7.0,41.0
263,2.0,0.0,8.0,34.0
264,2.0,0.0,8.0,35.0
265,2.0,0.0,8.0,36.0
266,6.0,0.0,2.0,14.0
267,0.0,0.0,7.0,42.0
268,1.0,0.0,9.0,51.0
269,2.0,0.0,8.0,37.0
270,6.0,0.0,2.0,15.0
271,2.0,0.0,8.0,38.0
272,8.0,-0.0,1.0,13.0
273,0.0,0.0,7.0,43.0
274,2.0,0.0,8.0,39.0
275,1.0,0.0,9.0,52.0
276,3.0,0.0,5.0,32.0
277,9.0,-0.0,1.0,15.0
278,5.0,0.0,1.0,14.0
279,6.0,0.0,2.0,16.0
280,4.0,0.0,4.0,25.0
281,7.0,0.0,1.0,14.0
282,1.0,0.0,9.0,53.0
283,4.0,50.0,5.0,25.0
284,7.0,0.0,1.0,15.0
285,7.0,0.0,1.0,16.0
286,4.0,0.0,5.0,26.0
287,8.0,-0.0,1.0,14.0
288,1.0,100.0,10.0,53.0
289,1.0,100.0,11.0,53.0
290,1.0,0.0,11.0,54.0
291,2.0,0.0,8.0,40.0
292,6.0,26.0,3.0,16.0
293,3.0,0.0,5.0,33.0
294,4.0,0.0,5.0,27.0
295,2.0,0.0,8.0,41.0
296,4.0,50.0,6.0,27.0
297,0.0,50.0,8.0,43.0
298,4.0,0.0,6.0,28.0
299,1.0,0.0,11.0,55.0
300,0.0,50.0,9.0,43.0
301,4.0,50.0,7.0,28.0
302,6.0,0.0,3.0,17.0
303,6.0,26.0,4.0,17.0
304,0.0,0.0,9.0,44.0
305,4.0,0.0,7.0,29.0
306,8.0,-0.0,1.0,15.0
307,0.0,0.0,9.0,45.0
308,1.0,100.0,12.0,55.0
309,6.0,0.0,4.0,18.0
310,0.0,0.0,9.0,46.0
311,6.0,0.0,4.0,19.0
312,6.0,0.0,4.0,20.0
313,2.0,0.0,8.0,42.0
314,1.0,0.0,12.0,56.0
315,2.0,0.0,8.0,43.0
316,4.0,0.0,7.0,30.0
317,6.0,0.0,4.0,21.0
318,6.0,0.0,4.0,22.0
319,2.0,0.0,8.0,44.0
320,4.0,0.0,7.0,31.0
321,0.0,0.0,9.0,47.0
322,0.0,0.0,9.0,48.0
323,4.0,0.0,7.0,32.0
324,1.0,0.0,12.0,57.0
325,6.0,0.0,4.0,23.0
326,0.0,0.0,9.0,49.0
327,6.0,0.0,4.0,24.0
328,4.0,0.0,7.0,33.0
329,4.0,0.0,7.0,34.0
330,0.0,0.0,9.0,50.0
331,4.0,0.0,7.0,35.0
332,2.0,50.0,9.0,44.0
333,1.0,0.0,12.0,58.0
334,0.0,0.0,9.0,51.0
335,4.0,0.0,7.0,36.0
336,6.0,0.0,4.0,25.0
337,3.0,0.0,5.0,34.0
338,0.0,0.0,9.0,52.0
339,1.0,0.0,12.0,59.0
340,2.0,0.0,9.0,45.0
341,3.0,0.0,5.0,35.0
342,1.0,0.0,12.0,60.0
343,1.0,0.0,12.0,61.0
344,6.0,0.0,4.0,26.0
345,1.0,100.0,13.0,61.0
346,3.0,0.0,5.0,36.0
347,9.0,-0.0,1.0,16.0
348,4.0,0.0,7.0,37.0
349,1.0,0.0,13.0,62.0
350,2.0,0.0,9.0,46.0
351,6.0,0.0,4.0,27.0
352,2.0,0.0,9.0,47.0
353,0.0,0.0,9.0,53.0
354,1.0,0.0,13.0,63.0
355,4.0,0.0,7.0,38.0
356,2.0,50.0,10.0,47.0
357,2.0,0.0,10.0,48.0
358,2.0,0.0,10.0,49.0
359,6.0,0.0,4.0,28.0
360,5.0,0.0,1.0,2.0
361,8.0,-0.0,1.0,2.0
